airport_name,airport_abbr,delay_sum,total_number_flights,perc_delay,avg_perc_delay,lat,lng
Dillingham Airport,DLG,8.0,82.0,0.0975609756097561,0.20823556298332133,59.0420062,-158.508371
Dothan Regional Airport,DHN,286.0,1480.0,0.19324324324324324,0.20823556298332133,31.3148738,-85.44872099999999
Dubuque Regional Airport,DBQ,331.99,1129.0,0.2940566873339238,0.20823556298332133,42.3972121,-90.7057047
Duluth International Airport,DLH,754.98,3367.0,0.22422928422928423,0.20823556298332133,46.8387531,-92.1800102
Durango-La Plata County Airport,DRO,875.9499999999999,3546.0,0.24702481669486745,0.20823556298332133,37.1506067,-107.7532559
Eagle County Regional Airport,EGE,763.01,2473.0,0.3085361908613021,0.20823556298332133,39.6425637,-106.9145481
East Texas Regional Airport,GGG,159.99,997.0,0.1604714142427282,0.20823556298332133,32.3876264,-94.71911860000002
Easterwood Airport,CLL,499.98,2483.0,0.20136125654450263,0.20823556298332133,30.5936801,-96.36660529999999
El Paso International Airport,ELP,4151.020000000001,18484.0,0.22457368534949151,0.20823556298332133,31.8053354,-106.3824345
Elko Regional Airport,EKO,53.01,730.0,0.07261643835616438,0.20823556298332133,40.8278188,-115.786212
Elmira / Corning Regional Airport,ELM,34.0,363.0,0.09366391184573003,0.20823556298332133,42.1604316,-76.8921794
Eppley Airfield,OMA,5853.909999999999,28136.0,0.2080576485641171,0.20823556298332133,41.3018733,-95.8937409
Erie International Airport,ERI,258.99,1238.0,0.20920032310177708,0.20823556298332133,42.0840391,-80.1719311
Ernest A. Love Field Airport,PRC,146.01,777.0,0.18791505791505791,0.20823556298332133,34.6498173,-112.427239
Eugene Airport,EUG,996.0,4922.0,0.2023567655424624,0.20823556298332133,44.1217811,-123.2159003
Evansville Regional Airport,EVV,944.95,4592.0,0.20578179442508712,0.20823556298332133,38.0433641,-87.52717539999999
Fairbanks International Airport,FAI,629.98,5133.0,0.12273134619131112,0.20823556298332133,64.8164163,-147.8635168
Falls International Airport,INL,94.98,705.0,0.13472340425531915,0.20823556298332133,48.5663926,-93.397607
Fayetteville Regional/Grannis Field Airport,FAY,862.0,4003.0,0.21533849612790407,0.20823556298332133,34.9910665,-78.887089
Flagstaff Pulliam Airport,FLG,283.98,1790.0,0.15864804469273744,0.20823556298332133,35.1401934,-111.6708808
Fort Lauderdale Hollywood International Airport,FLL,24218.05999999999,104383.0,0.23201153444526398,0.20823556298332133,26.0742344,-80.1506022
Fort Smith Airport,FSM,497.0,2254.0,0.2204968944099379,0.20823556298332133,35.3380696,-94.3635085
Fort Walton Beach Airport,VPS,2028.97,9358.0,0.21681662748450523,0.20823556298332133,30.49545509999999,-86.54984639999999
Fort Wayne International Airport,FWA,1663.98,7577.0,0.21960934406757293,0.20823556298332133,40.9828674,-85.18844229999999
Fresno Air Terminal,FAT,2346.0200000000004,13175.0,0.17806603415559777,0.20823556298332133,36.7758493,-119.7181083
Friedman Memorial Airport,SUN,385.02,1652.0,0.23306295399515736,0.20823556298332133,43.5066901,-114.2992901
Gainesville Regional Airport,GNV,1008.98,5368.0,0.18796199701937408,0.20823556298332133,29.6863121,-82.2766402
Garden City Regional Airport,GCK,149.0,791.0,0.18836915297092288,0.20823556298332133,37.9268913,-100.7198703
General Mitchell International Airport,MKE,6885.98,33327.0,0.20661865754493353,0.20823556298332133,42.9475534,-87.89664599999999
Gerald R. Ford International Airport,GRR,4627.070000000001,20399.0,0.22682827589587728,0.20823556298332133,42.8846633,-85.5248434
Gillette-Campbell County Airport,GCC,159.98000000000002,779.0,0.2053658536585366,0.20823556298332133,44.348086,-105.5390962
Golden Triangle Regional Airport,GTR,214.99,1194.0,0.18005862646566165,0.20823556298332133,33.4516041,-88.587603
Grand Forks International Airport,GFK,328.0,2268.0,0.14462081128747795,0.20823556298332133,47.942861,-97.176582
Great Falls International Airport,GTF,219.01,1952.0,0.11219774590163933,0.20823556298332133,47.4825016,-111.3566299
Greater Binghamton Airport,BGM,204.03,1020.0,0.20002941176470587,0.20823556298332133,42.208651,-75.9813976
Greater Rochester International Airport,ROC,3679.1000000000004,16116.0,0.22828865723504593,0.20823556298332133,43.1225229,-77.66657219999999
Greater Rockford Airport,RFD,110.02999999999997,762.0,0.14439632545931755,0.20823556298332133,42.2010833,-89.0989032
Greenbrier Valley Airport,LWB,236.98000000000002,735.0,0.322421768707483,0.20823556298332133,37.856284,-80.404748
Greenville / Spartanburg Airport,GSP,3756.0600000000004,16964.0,0.2214135817024287,0.20823556298332133,34.8959008,-82.2172338
Gulfport-Biloxi International Airport,GPT,1079.01,4726.0,0.22831358442657637,0.20823556298332133,30.4131137,-89.0727778
Gunnison-Crested Butte Regional Airport,GUC,69.00999999999999,238.0,0.28995798319327726,0.20823556298332133,38.5372495,-106.9353988
Gustavus Airport,GST,7.99,82.0,0.0974390243902439,0.20823556298332133,58.422469,-135.7030421
Hagerstown Regional Airport,HGR,37.99,186.0,0.204247311827957,0.20823556298332133,39.7051079,-77.7311945
Harrisburg International Airport,MDT,1326.89,6758.0,0.19634359277892868,0.20823556298332133,40.1942375,-76.7576672
Hattiesburg-Laurel Regional Airport,PIB,258.0,783.0,0.32950191570881227,0.20823556298332133,31.468239,-89.335421
Hays Regional Airport,HYS,318.01,1350.0,0.23556296296296295,0.20823556298332133,38.853909,-99.273786
Hector International Airport,FAR,1353.02,6322.0,0.21401771591268587,0.20823556298332133,46.9223374,-96.8180144
Helena Regional Airport,HLN,166.02999999999997,1680.0,0.09882738095238093,0.20823556298332133,46.6095791,-111.9902266
Hilo International Airport,ITO,393.99,6679.0,0.05898936966611768,0.20823556298332133,19.7188342,-155.0416866
"Hilton Head, SC: Hilton Head Airport",HHH,494.03999999999996,2046.0,0.24146627565982404,0.20823556298332133,32.2248476,-80.6971648
Hobby Airport,HOU,13898.949999999999,64863.0,0.21428163976380987,0.20823556298332133,29.6459077,-95.27690539999999
Honolulu International Airport,HNL,6998.02,54846.0,0.12759399044597602,0.20823556298332133,21.3245132,-157.9250736
Houghton County Memorial Airport,CMX,297.0,790.0,0.3759493670886076,0.20823556298332133,47.1686533,-88.49399880000001
Huntsville International Airport,HSV,2056.01,10197.0,0.20162891046386194,0.20823556298332133,34.6403329,-86.77568989999999
Idaho Falls Regional Airport,IDA,216.01999999999998,2187.0,0.09877457704618198,0.20823556298332133,43.5152294,-112.0678843
Indianapolis International Airport,IND,11119.96,52862.0,0.2103582914002497,0.20823556298332133,39.7168593,-86.2955952
Iron Mountain Airport,IMT,94.0,734.0,0.12806539509536785,0.20823556298332133,45.81498209999999,-88.1185699
Ithaca Tompkins Regional Airport,ITH,184.99,1061.0,0.17435438265786996,0.20823556298332133,42.4910812,-76.4584974
Jackson Hole Airport,JAC,1115.06,4953.0,0.2251282051282051,0.20823556298332133,43.6084108,-110.7366517
Jackson-Evers International Airport,JAN,1990.11,8785.0,0.2265350028457598,0.20823556298332133,32.3122283,-90.0764217
