year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2019,9,DL,Delta Air Lines Inc.,PWM,"Portland, ME: Portland International Jetport",115,12,4.7,0,7.3,0,0,0,0,632,431,0,201,0,0
2019,9,DL,Delta Air Lines Inc.,RAP,"Rapid City, SD: Rapid City Regional",30,3,1,0,1.38,0,0.62,0,0,112,58,0,41,0,13
2019,9,DL,Delta Air Lines Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",859,72,32.02,4.6,21.45,0,13.93,6,0,3408,1826,180,621,0,781
2019,9,DL,Delta Air Lines Inc.,RIC,"Richmond, VA: Richmond International",247,23,14.47,0.69,4.99,0,2.85,0,0,1959,1468,41,198,0,252
2019,9,DL,Delta Air Lines Inc.,RNO,"Reno, NV: Reno/Tahoe International",60,7,5.86,0,1.14,0,0,0,0,225,184,0,41,0,0
2019,9,DL,Delta Air Lines Inc.,ROA,"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",29,5,2.8,1,1.2,0,0,0,0,333,170,72,91,0,0
2019,9,DL,Delta Air Lines Inc.,ROC,"Rochester, NY: Greater Rochester International",147,22,13.16,1,5.32,0,2.52,0,0,1338,476,426,235,0,201
2019,9,DL,Delta Air Lines Inc.,RSW,"Fort Myers, FL: Southwest Florida International",316,21,13.46,0.95,3.58,0,3.02,0,0,1412,927,56,109,0,320
2019,9,DL,Delta Air Lines Inc.,SAN,"San Diego, CA: San Diego International",713,105,37.99,1.85,38.37,0,26.79,0,0,4620,2295,58,1176,0,1091
2019,9,DL,Delta Air Lines Inc.,SAT,"San Antonio, TX: San Antonio International",277,26,12.81,0.41,5.73,0,7.05,0,0,1363,627,38,255,0,443
2019,9,DL,Delta Air Lines Inc.,SAV,"Savannah, GA: Savannah/Hilton Head International",278,25,12.5,2.6,4.64,0,5.27,7,0,1273,546,196,150,0,381
2019,9,DL,Delta Air Lines Inc.,SBN,"South Bend, IN: South Bend International",7,1,1,0,0,0,0,0,0,84,84,0,0,0,0
2019,9,DL,Delta Air Lines Inc.,SDF,"Louisville, KY: Louisville Muhammad Ali International",224,18,12.31,1,2.45,0,2.24,0,1,1226,951,105,95,0,75
2019,9,DL,Delta Air Lines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",2617,369,95.29,8.41,143.77,1,120.53,0,4,26380,9736,687,5106,62,10789
2019,9,DL,Delta Air Lines Inc.,SFO,"San Francisco, CA: San Francisco International",1272,479,54.33,3.82,369.9,0,50.95,0,0,44878,6870,227,33234,0,4547
2019,9,DL,Delta Air Lines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",377,37,10.26,3.28,17.39,0,6.07,0,0,2661,1298,185,719,0,459
2019,9,DL,Delta Air Lines Inc.,SJU,"San Juan, PR: Luis Munoz Marin International",184,11,2.93,0,6,0,2.07,0,1,392,180,0,163,0,49
2019,9,DL,Delta Air Lines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",3959,449,147.68,10.5,138.94,0,151.88,7,3,29564,12330,1689,4414,0,11131
2019,9,DL,Delta Air Lines Inc.,SMF,"Sacramento, CA: Sacramento International",236,16,6.32,1.56,3.79,0,4.33,0,0,774,281,103,100,0,290
2019,9,DL,Delta Air Lines Inc.,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",345,33,17.44,1.22,8.66,0,5.68,0,1,3434,2693,58,420,0,263
2019,9,DL,Delta Air Lines Inc.,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",173,17,7.04,0,4.07,0,5.89,0,0,900,432,0,98,0,370
2019,9,DL,Delta Air Lines Inc.,STL,"St. Louis, MO: St Louis Lambert International",403,45,16.47,1.39,18.48,0,8.66,0,0,2225,905,320,604,0,396
2019,9,DL,Delta Air Lines Inc.,STT,"Charlotte Amalie, VI: Cyril E King",30,3,2,0,1,0,0,0,1,48,33,0,15,0,0
2019,9,DL,Delta Air Lines Inc.,SYR,"Syracuse, NY: Syracuse Hancock International",140,17,5.82,0.98,6.78,0,3.42,0,0,589,304,29,152,0,104
2019,9,DL,Delta Air Lines Inc.,TLH,"Tallahassee, FL: Tallahassee International",86,5,3.15,0,1.09,0,0.77,0,0,284,150,0,88,0,46
2019,9,DL,Delta Air Lines Inc.,TPA,"Tampa, FL: Tampa International",886,60,27.79,3.77,17.17,0,11.27,0,10,3647,1599,229,903,0,916
2019,9,DL,Delta Air Lines Inc.,TRI,"Bristol/Johnson City/Kingsport, TN: Tri Cities",30,7,4.06,0,1.29,0,1.66,0,0,344,126,0,35,0,183
2019,9,DL,Delta Air Lines Inc.,TUL,"Tulsa, OK: Tulsa International",60,2,0.15,0.62,0.38,0,0.85,0,0,181,18,36,22,0,105
2019,9,DL,Delta Air Lines Inc.,TUS,"Tucson, AZ: Tucson International",50,5,1.71,1,2,0,0.29,0,0,293,91,50,127,0,25
2019,9,DL,Delta Air Lines Inc.,TVC,"Traverse City, MI: Cherry Capital",,,,,,,,,,,,,,,
